sn,no,ccmaName,ccbaMnm1,ccbaMnm2,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaKdcd,ccbaCtcd,ccbaAsno,ccbaCncl,ccbaCpno,longitude,latitude,regDt
1,1,국보,서울 숭례문,서울 崇禮門,서울,중구,국가유산청 덕수궁관리소,11,11,0000010000000,N,1111100010000,126.975312652739,37.559975221378,2025-06-26 18:46:08
2,2,국보,서울 원각사지 십층석탑,서울 圓覺寺址 十層石塔,서울,종로구,종로구,11,11,0000020000000,N,1111100020000,126.988207994364,37.5715461695449,2025-09-27 00:25:02
3,3,국보,서울 북한산 신라 진흥왕 순수비,서울 北漢山 新羅 眞興王 巡狩碑,서울,용산구,국립중앙박물관,11,11,0000030000000,N,1111100030000,126.980350241652,37.5240413763397,2025-06-26 18:46:08
4,4,국보,청자 사자형뚜껑 향로,靑磁 獅子形蓋 香爐,서울,용산구,국립중앙박물관,11,11,0000600000000,N,1111100600000,126.980350241652,37.5240413763397,2025-06-26 18:46:08
5,5,국보,청자 어룡형 주전자,靑磁 魚龍形 注子,서울,용산구,국립중앙박물관,11,11,0000610000000,N,1111100610000,126.980350241652,37.5240413763397,2025-06-26 18:46:08
6,6,국보,청자 기린형뚜껑 향로,靑磁 麒麟形蓋 香爐,서울,성북구,간송미술관,11,11,0000650000000,N,1111100650000,126.9967,37.5946,2025-06-26 18:46:08
7,7,국보,청자 상감연지원앙문 정병,靑磁 象嵌蓮池鴛鴦文 淨甁,서울,성북구,간송미술관,11,11,0000660000000,N,1111100660000,127.0182146,37.589116,2025-06-26 18:46:08
8,8,국보,청자 상감운학문 매병,靑磁 象嵌雲鶴文 梅甁,서울,성북구,간송미술관,11,11,0000680000000,N,1111100680000,127.0182146,37.589116,2025-06-26 18:46:08
9,9,국보,훈민정음,訓民正音,서울,성북구,간송미술관,11,11,0000700000000,N,1111100700000,127.0182146,37.589116,2025-06-26 18:46:08
10,10,국보,"동국정운 권1, 6","東國正韻 卷一, 六",서울,성북구,간송미술관,11,11,0000710000000,N,1111100710000,127.0182146,37.589116,2025-06-26 18:46:08
11,11,국보,금동계미명삼존불입상,金銅癸未銘三尊佛立像,서울,성북구,간송미술관,11,11,0000720000000,N,1111100720000,127.0182146,37.589116,2025-06-26 18:46:08
12,12,국보,금동삼존불감,金銅三尊佛龕,서울,성북구,간송미술문화재단,11,11,0000730000000,N,1111100730000,127.0182146,37.589116,2025-06-26 18:46:08
13,13,국보,청자 오리모양 연적,靑磁 鴨形 硯滴,서울,성북구,간송미술관,11,11,0000740000000,N,1111100740000,127.0182146,37.589116,2025-06-26 18:46:08
14,14,국보,금동미륵보살반가사유상(1962-1),金銅彌勒菩薩半跏思惟像(1962-1),서울,용산구,국립중앙박물관,11,11,0000780000000,N,1111100780000,126.980350241652,37.5240413763397,2025-06-26 18:46:08
15,15,국보,경주 구황동 금제여래좌상,慶州 九黃洞 金製如來坐像,서울,용산구,국립중앙박물관,11,11,0000790000000,N,1111100790000,126.980350241652,37.5240413763397,2025-06-26 18:46:08
16,16,국보,경주 구황동 금제여래입상,慶州 九黃洞 金製如來立像,서울,용산구,국립중앙박물관,11,11,0000800000000,N,1111100800000,126.980350241652,37.5240413763397,2026-01-09 14:55:02
17,17,국보,경주 감산사 석조미륵보살입상,慶州 甘山寺 石造彌勒菩薩立像,서울,용산구,국립중앙박물관,11,11,0000810000000,N,1111100810000,126.980350241652,37.5240413763397,2026-01-28 15:55:03
18,18,국보,경주 감산사 석조아미타여래입상,慶州 甘山寺 石造阿彌陀如來立像,서울,용산구,국립중앙박물관,11,11,0000820000000,N,1111100820000,126.980350241652,37.5240413763397,2025-06-26 18:46:08
19,19,국보,금동미륵보살반가사유상(1962-2),金銅彌勒菩薩半跏思惟像(1962-2),서울,용산구,국립중앙박물관,11,11,0000830000000,N,1111100830000,126.980350241652,37.5240413763397,2025-06-26 18:46:08
20,20,국보,금동신묘명삼존불입상,金銅辛卯銘三尊佛立像,서울,용산구,삼성문화재단,11,11,0000850000000,N,1111100850000,126.9654442,37.5384272,2026-03-20 11:25:09
